timestamp,energy
2020-08-05 09:00,57548.73828125
2020-08-05 10:00,57548.078125
2020-08-05 11:00,57547.5390625
2020-08-05 12:00,57547.8515625
2020-08-05 13:00,57547.671875
2020-08-05 14:00,57548.0390625
2020-08-05 15:00,57547.94140625
2020-08-05 16:00,57547.1484375
2020-08-05 17:00,57542.55859375
2020-08-05 18:00,57546.28125
2020-08-05 19:00,57548.640625
2020-08-05 20:00,57551.66015625
2020-08-05 21:00,57550.171875
2020-08-05 22:00,57565.19921875
2020-08-05 23:00,57614.140625
2020-08-06 00:00,57571.4296875
2020-08-06 01:00,57594.078125
2020-08-06 02:00,57587.390625
2020-08-06 03:00,57621.48046875
2020-08-06 04:00,57571.0390625
2020-08-06 05:00,57692.80078125
2020-08-06 06:00,57635.80859375
2020-08-06 07:00,57658.4609375
2020-08-06 08:00,57641.16015625
2020-08-06 09:00,57582.78125
2020-08-06 10:00,57591.01953125
2020-08-06 11:00,57601.28125
2020-08-06 12:00,57569.33984375
2020-08-06 13:00,49931.01953125
2020-08-06 14:00,47397.2890625
2020-08-06 15:00,47077.87109375
2020-08-06 16:00,80160.4765625
2020-08-06 17:00,45005.8984375
2020-08-06 18:00,57547.4609375
2020-08-06 19:00,57340.1015625
2020-08-06 20:00,42813.78125
2020-08-06 21:00,12694.5498046875
2020-08-06 22:00,33890.921875
2020-08-06 23:00,32319.990234375
2020-08-07 00:00,57546.1015625
2020-08-07 01:00,57502.44140625
2020-08-07 02:00,57506.0390625
2020-08-07 03:00,57534.9609375
2020-08-07 04:00,57529.37890625
2020-08-07 05:00,57545.0390625
2020-08-07 06:00,57551.140625
2020-08-07 07:00,50146.05078125
2020-08-07 08:00,42334.66015625
